"MorphID","SpID","Sex","N","ExpC","Peso","Acom","TotC","AlCdo","PrfP","AlAnc","AlLgo","Rasp","Rform","WiLo","Wtap","AlArea","ColaL","PataE","TarsL","UnaL","PsoSD","ExpCSD","AcomSD","TotCSD","AlCdoSD","PrfPSD","AlAncSD","AlLgoSD","RaspSD","RformSD","WiLoSD","WtapSD","AlAreaSD","ColaLSD","PataESD","TarsLSD","UnaLSD","ReferenceID","LocalityID","MuseumID","Notes","Subspeciesname","spname"
67,151,"Macho",24,18.3,6.32,5.59,21.22,71.87,2.04,27.24,79.31,7.24,2.91,0.18,0.24,17.36,55.43,12.07,6.09,3.76,0.44,0.68,0.28,1,1.57,0.14,0.73,1.58,0.16,0.05,0.01,0.02,0.66,2.6,0.34,0.19,0.36,183,598,1,"",NA,"Eriocnemis.mosquera"
68,146,"Macho",25,19.04,4.87,5.11,21.38,59.82,1.75,23.36,66.33,7.13,2.84,0.19,0.25,12.33,40.96,11.57,5.7,3.63,0.18,0.55,0.25,0.86,1.02,0.08,0.62,1.53,0.26,0.09,0.00979072402215694,0.02,0.44,1.17,0.37,0.26,0.22,183,598,1,"",NA,"Eriocnemis.vestita"
69,164,"Macho",19,27.34,12.14,9.38,32.82,76.17,2.92,31.4,87.54,7.15,2.78,0.28,0.28,21.42,52.84,14.89,7.82,4.84,0.53,1,0.32,1.51,1.89,0.15,0.79,2.23,0.23,0.08,0.01,0.03,0.92,2.26,0.52,0.26,0.21,183,598,1,"",NA,"Eutoxeres.aquila"
70,166,"Macho",22,19.6,7.4,6.41,23.23,71.75,2.73,24,80.26,8.24,3.34,0.23,0.23,15.63,38.57,11.25,5.61,2.67,0.3,1.01,0.32,1.01,1.87,0.1,0.82,2.11,0.21,0.09,0.00699071293829634,0.03,0.6,1.62,0.43,0.22,0.24,183,598,1,"",NA,"Florisuga.mellivora"
71,170,"Macho",25,30.44,6.94,7.33,33.68,61.84,3.37,26.47,71.47,6.96,2.7,0.23,0.29,14.67,38.77,10.7,5.46,2.47,0.33,1.56,0.41,1.59,1.46,0.21,0.9,1.56,0.26,0.08,0.01,0.04,0.52,1.53,0.67,0.28,0.17,183,598,1,"",NA,"Glaucis.hirsutus"
72,172,"Macho",2,17.7,4.1,4.95,19.75,52.7,1.85,19.7,61.55,8.1,3.12,0.21,0.29,9.34,29.85,9.5,4.9,2.85,0.14,0.28,0.07,0.07,0.28,0.07,0.14,0.91,0.17,0.06,0.00574100162450198,0.000735495993733288,0.07,0.91,0,0.14,0.07,183,598,1,"",NA,"Goldmania.violiceps"
73,173,"Macho",24,20.11,5.53,5.32,22,60.82,1.97,23.17,68.07,7.25,2.93,0.21,0.23,12.78,38.84,11.62,5.65,3.5,0.34,1.06,0.21,1.11,1.46,0.17,0.53,1.57,0.18,0.06,0.01,0.02,0.53,1.41,0.42,0.22,0.17,183,598,1,"",NA,"Haplophaedia.aureliae"
74,175,"Macho",4,17.5,6.6,5.8,19.87,63.55,2.05,24.47,74.7,7.44,3.05,0.22,0.21,15,38.57,13.15,6.35,3.82,0.37,0.46,0.14,0.86,1,0.07,0.47,0.73,0.31,0.07,0.01,0.03,0.4,0.45,0.35,0.23,0.18,183,598,1,"",NA,"Haplophaedia.lugens"
75,178,"Macho",20,17.05,5.97,6.08,19.36,67.83,2.05,24.91,74.33,7.68,2.98,0.2,0.28,14.38,41.56,12.98,6.15,4.02,0.17,0.47,0.21,0.58,1,0.16,0.66,2.55,0.29,0.07,0.01,0.02,0.7,1.6,0.53,0.21,0.18,183,598,1,"",NA,"Heliangelus.amethysticollis"
76,180,"Macho",21,15.65,5.19,5.55,17.78,65.74,1.9,23.25,71.6,7.64,3.08,0.19,0.23,13.41,46.24,12.2,5.9,3.71,0.25,0.56,0.32,0.74,1.17,0.14,0.68,1.69,0.23,0.07,0.01,0.03,0.61,1.81,0.48,0.23,0.23,183,598,1,"",NA,"Heliangelus.exortis"
77,190,"Macho",4,18.62,6.11,5.8,21.85,62.55,2.2,22.5,70.32,7.53,3.12,0.23,0.2,13.12,35.8,11.2,5.42,3.02,0.29,0.91,0.26,1.75,1.3,0.1,0.66,1.26,0.14,0.06,0.00868389807286478,0.00564966888358943,0.53,1.58,0.42,0.17,0.17,183,598,1,"",NA,"Heliodoxa.aurescens"
78,192,"Macho",7,24.28,9.1,7.15,29.4,72.52,2.65,25.74,81.61,7.77,3.17,0.26,0.22,17.13,70.05,14.5,6.6,3.82,0.2,1.12,0.21,1.69,1.42,0.21,1.02,2.03,0.17,0.07,0.00921557185761186,0.03,0.58,7.96,0.59,0.19,0.16,183,598,1,"",NA,"Heliodoxa.imperatrix"
79,185,"Macho",17,21.77,7.73,6.59,25.08,72.36,2.46,25.26,80.55,7.92,3.18,0.23,0.24,16.38,50.81,12.85,6.04,3.7,0.42,0.96,0.15,1.34,1,0.14,0.82,2.21,0.22,0.06,0.01,0.02,0.7,2.51,0.44,0.18,0.21,183,598,1,"",NA,"Heliodoxa.jacula"
80,193,"Macho",7,20.42,6.9,6.65,23.64,69.05,2.42,24.38,77.17,7.83,3.16,0.22,0.23,15.2,46.68,12.5,5.94,3.52,0.16,0.33,0.12,0.61,1.31,0.14,0.78,2.35,0.25,0.06,0.00562343859269323,0.03,0.52,1.44,0.33,0.22,0.09,183,598,1,"",NA,"Heliodoxa.leadbeateri"
81,191,"Macho",18,20.68,7.41,6.61,24.55,70.43,2.44,25.39,78.81,7.77,3.1,0.23,0.25,15.97,44.5,12.78,5.99,3.5,0.23,0.89,0.3,1.01,1.51,0.13,0.79,2.22,0.28,0.09,0.00770218712445408,0.03,0.49,2.01,0.3,0.18,0.15,183,598,1,"",NA,"Heliodoxa.rubinoides"
82,189,"Macho",3,23.23,8.2,7,26.9,70.66,2.73,25.56,80.8,7.99,3.15,0.25,0.26,16.32,54.26,12.53,6.43,3.46,0.4,1.77,0.17,1.59,3.06,0.15,0.45,3.42,0.36,0.08,0.00331864342509641,0.02,0.64,3.5,0.15,0.11,0.25,183,598,1,"",NA,"Heliodoxa.schreibersii"
83,194,"Macho",3,34.15,7.1,6.46,36.7,61.06,2.5,20.93,68.93,8.14,3.29,0.3,0.23,11.67,32.36,11.93,5.83,3.16,0.2,2.96,0.35,3.81,1.4,0.1,1.17,1.2,0.03,0.14,0.00317596332242667,0.04,0.43,1.46,0.35,0.15,0.05,183,598,1,"",NA,"Heliomaster.longirostris"
84,199,"Macho",1,18,5.6,5.7,23.2,66.2,2.4,21.5,73.7,8.79,3.42,0.22,0.28,12.35,53.5,9.2,4.4,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,598,1,"",NA,"Heliothryx.auritus"
85,198,"Macho",1,16.5,5.4,5.6,19.7,66.3,2.2,23.5,73.5,7.63,3.12,0.19,0.21,14.16,42,9.4,4.6,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,598,1,"",NA,"Heliothryx.barroti"
86,205,"Macho",3,16.2,3.65,5.7,18.53,50.03,1.96,17.66,55.8,7.65,3.15,0.22,0.21,8.13,26.56,8.8,4.66,2.46,0.18,0.6,0.17,0.73,1.35,0.15,0.35,1.56,0.19,0.03,0.01,0.02,0.24,0.23,0.17,0.15,0.15,183,598,1,"",NA,"Hylocharis.cyanus"
87,200,"Macho",2,19.45,6.05,6.35,21.75,62.45,2.45,23.75,72.5,8.3,3.05,0.23,0.35,12.66,35.45,11.2,6.05,3.15,0.21,0.07,0.21,1.06,0.91,0.07,0.07,1.27,0.19,0.06,0.00557472308212914,0.00388062447451858,0.14,0.77,0.28,0.07,0.07,183,598,1,"",NA,"Hylocharis.humboldtii"
88,209,"Macho",10,12.46,2.84,4.7,14,49.45,1.68,16.69,53.94,8.13,3.23,0.19,0.25,7.16,28.77,8.3,4.41,2.1,0.12,0.81,0.18,0.66,1.36,0.09,0.67,1.53,0.38,0.11,0.00956673396839342,0.05,0.14,1.06,0.13,0.11,0.13,183,598,1,"",NA,"Klais.guimeti"
89,210,"Macho",18,25.71,5.69,5.75,29.69,64.71,2.01,24.03,71.47,7.57,2.97,0.21,0.27,13.48,40.13,11.3,5.61,3.33,0.31,1.11,0.33,1.09,1.31,0.12,0.57,1.83,0.19,0.06,0.01,0.02,0.41,1.96,0.46,0.3,0.18,183,598,1,"",NA,"Lafresnaya.lafresnayi"
90,219,"Macho",4,18.35,3.65,5.05,20.9,48.02,1.85,18.27,56.3,7.85,3.08,0.22,0.27,8.07,30.27,9.65,4.82,2.67,0.12,0.26,0.12,0.31,0.67,0.1,0.15,1.06,0.19,0.05,0.00815275234348778,0.01,0.21,1.22,0.2,0.09,0.09,183,598,1,"",NA,"Lepidopyga.coeruleogularis"
91,146,"Macho",10,18.07,3.91,4.99,20.2,49.65,1.98,18.38,56.29,7.59,3.06,0.23,0.23,8.35,30.61,9.89,4.85,2.7,0.22,0.55,0.25,0.66,1.39,0.16,0.63,1.97,0.31,0.08,0.01,0.03,0.37,1.43,0.27,0.17,0.18,183,598,1,"",NA,"Eriocnemis.vestita"
92,223,"Macho",7,10.37,3.66,5.31,12.65,51.54,1.48,18.31,56.27,6.82,3.07,0.19,0.11,9.28,96.41,11.47,5.64,3.62,0.12,0.54,0.17,0.55,0.95,0.17,0.43,1.32,0.16,0.05,0.00963598641881124,0.02,0.23,21.76,0.43,0.22,0.11,183,598,1,"",NA,"Lesbia.nuna"
93,222,"Macho",11,14.65,5.28,5.7,17.58,59.74,1.7,22.22,66.27,7.43,2.98,0.22,0.24,11.72,122.34,13.09,6.24,3.91,0.18,0.65,0.21,0.57,1.09,0.11,0.85,1.81,0.23,0.09,0.01,0.01,0.52,33.08,0.41,0.22,0.19,183,598,1,"",NA,"Lesbia.victoriae"
94,227,"Macho",5,18.42,5.02,5.62,19.94,56.62,2.3,21.72,65.18,7.65,3,0.22,0.27,11.1,35.7,10.94,5.48,2.89,0.2,0.67,0.24,1.04,0.51,0.17,0.61,1.35,0.03,0.06,0.00942165122762584,0.02,0.41,1.33,0.16,0.1,0.08,183,598,1,"",NA,"Leucippus.chlorocercus"
95,224,"Macho",2,20.2,5.3,5.9,23.2,58.7,2.35,21.05,67.6,8.08,3.21,0.23,0.25,11.3,34.25,12,5.95,3.3,0.14,0.7,0.14,0.14,0.7,0.21,0.35,0.42,0.07,0.07,0.0053771283886576,0.01,0.04,1.2,0.42,0.35,0.14,183,598,1,"",NA,"Leucippus.fallax"
96,231,"Macho",1,9.2,2.25,3.9,11.9,38.2,1.3,11.7,41.2,8.16,3.52,0.27,0.15,4.16,24.5,8.4,4.4,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,598,1,"",NA,"Lophornis.delattrei"
97,242,"Macho",6,11.7,4.16,5.11,14.15,60.68,1.68,23.91,67.03,6.75,2.8,0.15,0.2,13.31,43.06,12.11,6.13,3.9,0.28,0.68,0.18,0.54,1.51,0.09,0.82,1.53,0.14,0.07,0.00929310717657025,0.02,0.46,1.54,0.45,0.16,0.17,183,598,1,"",NA,"Metallura.iracunda"
98,243,"Macho",25,10.86,3.41,4.54,12.5,56.18,1.44,21.49,61.12,7.16,2.84,0.16,0.25,10.45,37.57,11.6,5.51,3.64,0.17,0.51,0.32,0.62,1.68,0.08,0.77,1.66,0.28,0.07,0.01,0.04,0.71,2.41,0.35,0.24,0.2,183,598,1,"",NA,"Metallura.tyrianthina"
99,243,"Macho",10,11.03,3.71,4.64,12.91,58.45,1.65,22.52,64.04,7.09,2.84,0.16,0.24,11.57,39.59,11.68,5.76,4.01,0.13,0.62,0.19,0.63,2.13,0.1,0.75,2.53,0.14,0.04,0.01,0.01,0.8,1.77,0.42,0.22,0.26,183,598,1,"",NA,"Metallura.tyrianthina"
100,244,"Macho",2,14.2,4.3,5.05,16.1,56.65,1.72,24.15,60.75,6.31,2.51,0.18,0.25,11.7,37.75,13.2,5.9,4,0.07,0.56,0.21,1.41,1.62,0.03,0.21,1.2,0.08,0.02,0.00676088443449,0.03,0.62,1.34,0.42,0.14,0.28,183,598,1,"",NA,"Metallura.williami"
101,255,"Macho",9,12.92,2.49,4.32,14.81,42.16,1.42,13.84,46.04,8.41,3.32,0.24,0.26,5.04,63.34,8.88,4.18,2.48,0.08,0.53,0.33,0.82,1.22,0.08,0.4,0.8,0.33,0.09,0.01,0.04,0.25,23.29,0.42,0.12,0.2,183,598,1,"",NA,"Ocreatus.underwoodii"
102,256,"Macho",1,12.7,6.75,6.7,15.3,67.5,1.9,27.4,72.9,6.92,2.66,0.21,0.3,15.35,47.6,16.3,6.8,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,598,1,"",NA,"Opisthoprora.euryptera"
103,264,"Macho",8,9.5,5.76,5.43,12.9,70.35,1.68,26.88,76.11,6.92,2.83,0.17,0.22,16.73,52.98,14.95,7.39,5.56,0.31,1.05,0.18,1.35,0.95,0.09,0.52,1.3,0.11,0.02,0.0069318932821425,0.02,0.35,2.45,0.23,0.22,0.25,183,598,1,"",NA,"Oxypogon.guerinii"
104,282,"Macho",23,35.27,5.29,5.78,37.51,58.49,2.52,23.49,67.52,7.34,2.87,0.21,0.27,12.43,58.84,9.47,4.83,2.18,0.28,1.61,0.35,1.83,1.35,0.13,0.95,2.11,0.28,0.08,0.01,0.05,0.66,1.98,0.39,0.16,0.16,183,598,1,"",NA,"Phaethornis.anthophilus"
105,282,"Macho",14,32.63,4.92,5.87,35.03,56.62,2.38,22.58,65.25,7.45,2.89,0.21,0.28,11.44,57.5,9.4,4.85,2.22,0.22,0.99,0.23,1.52,0.83,0.12,0.73,1.36,0.33,0.08,0.01,0.04,0.49,1.59,0.3,0.16,0.1,183,598,1,"",NA,"Phaethornis.anthophilus"
106,273,"Macho",8,24.62,2.56,4.57,26.65,38.2,1.9,13.48,42.37,7.84,3.14,0.28,0.24,4.58,35.66,7.72,3.96,1.88,0.14,0.63,0.17,0.53,0.78,0.09,0.33,1.26,0.3,0.09,0.01,0.03,0.25,1.28,0.28,0.21,0.11,183,598,1,"",NA,"Phaethornis.atrimentalis"
107,279,"Macho",4,32.8,4.91,6.27,35.82,59.15,2.55,22.52,66.57,7.31,2.95,0.2,0.23,12.12,77.6,9.7,4.8,2.4,0.14,0.9,0.45,0.59,0.89,0.1,0.72,2.05,0.26,0.1,0.00527208646423637,0.03,0.33,2.25,0.63,0.21,0.16,183,598,1,"",NA,"Phaethornis.augusti"
108,289,"Macho",14,28.97,4.44,5.99,32.31,56.14,2.26,21.82,64.57,7.32,2.95,0.19,0.23,11.39,59.23,8.74,4.55,2.05,0.27,1.02,0.27,1,1.39,0.19,0.52,1.3,0.13,0.04,0.01,0.02,0.43,3.68,0.34,0.21,0.13,183,598,1,"",NA,"Phaethornis.bourcieri"
109,275,"Macho",21,22.28,2.08,4.56,24.24,32.13,1.68,11.5,35.29,7.03,3.07,0.29,0.14,3.55,30.55,7.26,3.85,1.58,0.12,0.81,0.26,0.88,1,0.12,0.57,1.32,0.31,0.1,0.02,0.04,0.27,1.06,0.16,0.15,0.15,183,598,1,"",NA,"Phaethornis.griseogularis"
110,285,"Macho",9,37.68,5.28,6.03,40.28,58.64,2.5,21.81,65.78,7.3,3.01,0.22,0.21,11.85,58.02,9.7,5.13,2.31,0.2,1.26,0.32,1.18,1.09,0.1,0.63,1.66,0.26,0.12,0.01,0.02,0.38,3.95,0.39,0.11,0.14,183,598,1,"",NA,"Phaethornis.guy"
111,285,"Macho",25,42.43,5.84,6.06,45.3,61.74,2.53,22.45,68.97,7.54,3.07,0.23,0.22,12.61,57.86,9.93,5.1,2.35,0.24,1.59,0.22,1.7,0.9,0.12,0.65,1.51,0.19,0.05,0.01,0.02,0.48,4.04,0.34,0.18,0.15,183,598,1,"",NA,"Phaethornis.guy"
112,283,"Macho",24,32.76,5.4,6.15,35.33,58.7,2.55,23.82,67.12,6.97,2.81,0.2,0.23,12.92,60.57,9.32,4.95,2.21,0.21,1.23,0.31,1.31,1.51,0.13,0.76,2.61,0.31,0.07,0.00845900352957124,0.03,0.69,2.2,0.25,0.18,0.14,183,598,1,"",NA,"Phaethornis.hispidus"
113,290,"Macho",24,41.63,6.46,6.49,44.92,63.98,2.82,24.68,72.28,7.34,2.92,0.22,0.25,14.23,67.4,10.25,5.31,2.32,0.25,1.67,0.41,1.58,1.51,0.16,0.8,2.15,0.18,0.06,0.01,0.02,0.66,3.01,0.37,0.22,0.13,183,598,1,"",NA,"Phaethornis.longirostris"
114,292,"Macho",25,40.12,6.32,6.54,43.51,61.32,2.76,23.72,69.16,7.06,2.91,0.23,0.21,13.54,64.28,9.84,5.1,2.31,0.22,1.65,0.28,1.56,1.08,0.16,0.7,1.67,0.24,0.07,0.01,0.03,0.57,2.87,0.38,0.19,0.19,183,598,1,"",NA,"Phaethornis.malaris"
115,288,"Macho",6,33.21,5.15,6.05,36.11,59.06,2.44,23.83,69.25,7.5,2.9,0.2,0.29,12.79,60.43,9.83,4.91,2.06,0.22,1.17,0.22,0.83,0.95,0.11,0.61,1.73,0.13,0.02,0.01,0.02,0.73,2.3,0.16,0.2,0.12,183,598,1,"",NA,"Phaethornis.philippii"
116,276,"Macho",7,21.51,1.92,4.2,23.78,27.98,1.65,9.92,30.47,6.88,3.07,0.35,0.12,2.7,25.72,6.77,3.64,1.54,0.06,0.91,0.28,0.81,1.85,0.16,0.57,1.49,0.24,0.07,0.03,0.02,0.25,1.99,0.27,0.12,0.15,183,598,1,"",NA,"Phaethornis.ruber"
117,274,"Macho",16,22.62,2.42,4.49,24.48,36.1,1.82,12.84,39.89,7.48,3.1,0.28,0.2,4.27,32.55,7.77,3.99,1.68,0.09,1.41,0.22,1.59,1.07,0.14,0.49,1.16,0.5,0.09,0.02,0.08,0.43,1.1,0.37,0.15,0.17,183,598,1,"",NA,"Phaethornis.striigularis"
118,286,"Macho",18,40.63,6.01,6.35,44.18,62.16,2.49,24.83,70.7,7.56,2.84,0.22,0.32,13.21,70.62,9.92,5.05,2.36,0.24,1.86,0.16,1.59,1.48,0.16,0.73,2.21,0.31,0.06,0.00869649210821342,0.04,0.43,3.15,0.3,0.2,0.13,183,598,1,"",NA,"Phaethornis.syrmatophorus"
119,284,"Macho",9,42.2,5.97,6.33,45.4,61.05,2.76,23.37,70.57,7.51,3.02,0.22,0.24,13.27,51.46,9.82,5.2,2.43,0.28,1.54,0.2,2.13,1.6,0.05,0.69,2.21,0.21,0.09,0.01,0.03,0.88,2.34,0.44,0.17,0.19,183,598,1,"",NA,"Phaethornis.yaruqui"
120,296,"Macho",5,22.96,4.79,5.7,25.48,59.06,2.1,21.54,65.28,7.57,3.03,0.21,0.24,11.26,38.26,10.54,5.37,2.64,0.28,1.04,0,0.77,0.67,0,0.76,1.4,0.15,0.07,0.00823754988280118,0.01,0.49,1.45,0.21,0.21,0.32,183,598,1,"",NA,"Polytmus.guainumbi"
121,298,"Macho",2,18.45,3.62,5.55,20.65,55.5,2.1,20.55,63.25,7.56,3.07,0.17,0.22,10.58,31.05,8.9,4.65,2.37,0.03,0.63,0.21,0.21,1.13,0.14,0.07,1.06,0.12,0.06,0.0013062453550125,0.00497384114018661,0.18,0.35,0.14,0.07,0.03,183,598,1,"",NA,"Polytmus.theresiae"
122,299,"Macho",5,29.58,10.35,7.3,36.34,105.92,2.48,38.76,115.24,7.51,2.97,0.14,0.26,35.37,65.84,15.22,7.48,4.26,0.69,1.1,0.44,0.56,2.09,0.21,1.18,4.27,0.19,0.03,0.01,0.02,2.31,2.6,0.58,0.31,0.21,183,598,1,"",NA,"Pterophanes.cyanopterus"
123,302,"Macho",15,7.74,3.66,4.87,10.21,49.84,1.54,17.97,54.18,7.5,3.01,0.23,0.24,7.82,39.74,11.98,6.07,3.88,0.23,0.52,0.29,0.96,1.48,0.06,0.54,1.99,0.27,0.06,0.00986749080969667,0.04,0.37,5.12,0.49,0.15,0.22,183,598,1,"",NA,"Ramphomicron.microrhynchum"
124,305,"Macho",9,14.45,3.72,5.26,16.54,55.46,1.88,18.45,60.21,7.98,3.26,0.2,0.22,9.08,32.84,9.57,4.81,2.34,0.2,0.39,0.16,0.7,1.26,0.12,0.59,1.05,0.17,0.07,0.01,0.01,0.34,0.87,0.16,0.14,0.35,183,598,1,"",NA,"Schistes.geoffroyi"
125,305,"Macho",2,13.35,3.4,5.25,15.6,50.25,2.1,18.8,56.75,7.96,3.01,0.21,0.31,8.08,33.65,9.8,5.05,2.5,0.14,1.2,0.07,0.7,0.07,0,0,0.07,0.11,0.0037612062829068,0.0052525978724333,0.02,0.13,0.91,0.14,0.21,0,183,598,1,"",NA,"Schistes.geoffroyi"
126,320,"Macho",20,18.5,4.49,5.3,20.81,54.96,1.86,19.2,61.74,8.15,3.21,0.24,0.26,9.35,39.56,10.11,4.92,2.83,0.18,0.69,0.24,0.72,1.22,0.13,0.9,2,0.33,0.09,0.01,0.04,0.49,2.2,0.39,0.18,0.13,183,598,1,"",NA,"Thalurania.colombica"
127,320,"Macho",16,18.91,4.41,5.28,21.12,53,1.93,19.05,60.17,7.83,3.15,0.23,0.23,9.24,39.53,10.11,4.99,2.95,0.2,0.63,0.23,0.66,0.99,0.15,0.5,1.98,0.34,0.08,0.01,0.03,0.31,1.78,0.34,0.18,0.15,183,598,1,"",NA,"Thalurania.colombica"
128,322,"Macho",21,20.69,4.68,5.61,23.32,55.99,2,19.71,63.28,7.87,3.21,0.23,0.22,10.18,39.97,10.16,5.01,2.8,0.18,0.91,0.39,1.26,1.32,0.11,0.59,1.6,0.3,0.08,0.01,0.04,0.42,2.49,0.33,0.14,0.22,183,598,1,"",NA,"Thalurania.furcata"
129,327,"Macho",11,28.96,6.08,7.08,32.18,61.06,2.88,23.16,69.04,7.5,2.98,0.23,0.25,12.71,34.22,9.81,5.04,2.12,0.28,1.5,0.3,1.36,1.16,0.1,0.81,2.01,0.15,0.06,0.01,0.02,0.61,1.25,0.23,0.29,0.15,183,598,1,"",NA,"Threnetes.leucurus"
130,326,"Macho",15,29.88,6.3,7.07,32.77,58.81,2.93,23.41,66.6,7.07,2.84,0.25,0.24,12.54,34.6,10.6,5.36,2.37,0.23,1,0.5,1.27,1.13,0.14,0.53,1.67,0.3,0.06,0.01,0.04,0.48,0.9,0.46,0.21,0.19,183,598,1,"",NA,"Threnetes.ruckeri"
131,333,"Macho",1,30.9,11.9,7.9,34.6,78.9,2.5,30.5,88.7,7.68,2.9,0.29,0.32,20.47,47.4,15.2,7.3,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,598,1,"",NA,"Urochroa.bougueri"
132,334,"Macho",1,19.3,4.15,5,21.6,50.3,2,17.7,58.7,7.98,3.31,0.24,0.2,8.63,39.5,10.5,5.1,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,598,1,"",NA,"Urosticte.benjamini"
133,335,"Macho",5,18.9,4.7,5.15,21.58,57.48,1.95,20.62,62.26,7.42,3.01,0.22,0.22,10.44,38.7,10.48,5.06,2.86,0.15,0.62,0.07,0.61,1,0.07,0.36,0.87,0.16,0.02,0.01,0.02,0.29,1.69,0.4,0.15,0.15,183,598,1,"",NA,"Urosticte.ruficrissa"
