"","Abutilon_pictum","Wercklea_ferox","Blakea_quadriflora","Meriania_tomentosa","Fuchsia_macrostigma","Begonia_longirostris","Begonia_tiliifolia","Erythrina_edulis","Clusia","Alloplectus_purpureus","Alloplectus_strigosus","Alloplectus_tenuis","Alloplectus_tetragonoides","Alloplectus_teuscheri","Capanea_affinis","Columnea_ciliata","Columnea_cinerea","Columnea_katzensteiniae","Columnea_medicinalis","Columnea_picta","Columnea_stricta","Columnea_strigosa","Diastema_racemiferum","Drymonia_brochidodroma","Gasteranthus_lateralis","Gasteranthus_leopardus","Gasteranthus_quitensis","Heppiella","Heppiella_ulmifolia","Kohleria","Kohleria_inaequalis","Justicia_secunda","Salvia_quitensis","Faramea_calyptrata","Palicourea_acetosoides","Palicourea_demissa","Palicourea_lineata","Palicourea_sodiroi","Burmeistera_multiflora","Centropogon_nigricans","Centropogon_solanifolius","Macleania_bullata","Macleania_macrantha","Macleania_recumbens","Macleania_stricta","Psammisia_aberrans","Psammisia_ecuadorensis","Psammisia_sodiroi","Psammisia_ulbrichiana","Norantea_anomala","Hydrangea_peruviana","Bomarea_multiflora","Bomarea_pardina","Calathea_ischnosiphonoides","Stromanthe_stromanthoides","Renealmia_sessilifolia","Heliconia_burleana","Heliconia_griggsiana","Heliconia_impudica","Heliconia_virginalis","Guzmania_amplectens","Guzmania_jaramilloi","Mezobromelia_capituligera","Pitcairnia_sodiroi","Tillandsia_complanata"
"Abutilon_pictum",0,68,189.999998,189.999998,189.999998,238,238,238,238,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,322,322,322,322,322,322,322,322,322,322,322,322,322,322
"Wercklea_ferox",68,0,189.999998,189.999998,189.999998,238,238,238,238,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,322,322,322,322,322,322,322,322,322,322,322,322,322,322
"Blakea_quadriflora",189.999998,189.999998,0,63.333332,126.666664,237.999998,237.999998,237.999998,237.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,321.999998,321.999998,321.999998,321.999998,321.999998,321.999998,321.999998,321.999998,321.999998,321.999998,321.999998,321.999998,321.999998,321.999998
"Meriania_tomentosa",189.999998,189.999998,63.333332,0,126.666664,237.999998,237.999998,237.999998,237.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,321.999998,321.999998,321.999998,321.999998,321.999998,321.999998,321.999998,321.999998,321.999998,321.999998,321.999998,321.999998,321.999998,321.999998
"Fuchsia_macrostigma",189.999998,189.999998,126.666664,126.666664,0,237.999998,237.999998,237.999998,237.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,285.999998,321.999998,321.999998,321.999998,321.999998,321.999998,321.999998,321.999998,321.999998,321.999998,321.999998,321.999998,321.999998,321.999998,321.999998
"Begonia_longirostris",238,238,237.999998,237.999998,237.999998,0,59.5,119,178.5,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,322,322,322,322,322,322,322,322,322,322,322,322,322,322
"Begonia_tiliifolia",238,238,237.999998,237.999998,237.999998,59.5,0,119,178.5,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,322,322,322,322,322,322,322,322,322,322,322,322,322,322
"Erythrina_edulis",238,238,237.999998,237.999998,237.999998,119,119,0,178.5,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,322,322,322,322,322,322,322,322,322,322,322,322,322,322
"Clusia",238,238,237.999998,237.999998,237.999998,178.5,178.5,178.5,0,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,322,322,322,322,322,322,322,322,322,322,322,322,322,322
"Alloplectus_purpureus",286,286,285.999998,285.999998,285.999998,286,286,286,286,0,38,38,38,38,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,110.5,110.5,145,145,145,145,145,179.5,179.5,179.5,214,214,214,214,214,214,214,214,214,250,322,322,322,322,322,322,322,322,322,322,322,322,322,322
"Alloplectus_strigosus",286,286,285.999998,285.999998,285.999998,286,286,286,286,38,0,38,38,38,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,110.5,110.5,145,145,145,145,145,179.5,179.5,179.5,214,214,214,214,214,214,214,214,214,250,322,322,322,322,322,322,322,322,322,322,322,322,322,322
"Alloplectus_tenuis",286,286,285.999998,285.999998,285.999998,286,286,286,286,38,38,0,38,38,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,110.5,110.5,145,145,145,145,145,179.5,179.5,179.5,214,214,214,214,214,214,214,214,214,250,322,322,322,322,322,322,322,322,322,322,322,322,322,322
"Alloplectus_tetragonoides",286,286,285.999998,285.999998,285.999998,286,286,286,286,38,38,38,0,38,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,110.5,110.5,145,145,145,145,145,179.5,179.5,179.5,214,214,214,214,214,214,214,214,214,250,322,322,322,322,322,322,322,322,322,322,322,322,322,322
"Alloplectus_teuscheri",286,286,285.999998,285.999998,285.999998,286,286,286,286,38,38,38,38,0,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,110.5,110.5,145,145,145,145,145,179.5,179.5,179.5,214,214,214,214,214,214,214,214,214,250,322,322,322,322,322,322,322,322,322,322,322,322,322,322
"Capanea_affinis",286,286,285.999998,285.999998,285.999998,286,286,286,286,76,76,76,76,76,0,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,110.5,110.5,145,145,145,145,145,179.5,179.5,179.5,214,214,214,214,214,214,214,214,214,250,322,322,322,322,322,322,322,322,322,322,322,322,322,322
"Columnea_ciliata",286,286,285.999998,285.999998,285.999998,286,286,286,286,76,76,76,76,76,76,0,38,38,38,38,38,38,76,76,76,76,76,76,76,76,76,110.5,110.5,145,145,145,145,145,179.5,179.5,179.5,214,214,214,214,214,214,214,214,214,250,322,322,322,322,322,322,322,322,322,322,322,322,322,322
"Columnea_cinerea",286,286,285.999998,285.999998,285.999998,286,286,286,286,76,76,76,76,76,76,38,0,38,38,38,38,38,76,76,76,76,76,76,76,76,76,110.5,110.5,145,145,145,145,145,179.5,179.5,179.5,214,214,214,214,214,214,214,214,214,250,322,322,322,322,322,322,322,322,322,322,322,322,322,322
"Columnea_katzensteiniae",286,286,285.999998,285.999998,285.999998,286,286,286,286,76,76,76,76,76,76,38,38,0,38,38,38,38,76,76,76,76,76,76,76,76,76,110.5,110.5,145,145,145,145,145,179.5,179.5,179.5,214,214,214,214,214,214,214,214,214,250,322,322,322,322,322,322,322,322,322,322,322,322,322,322
"Columnea_medicinalis",286,286,285.999998,285.999998,285.999998,286,286,286,286,76,76,76,76,76,76,38,38,38,0,38,38,38,76,76,76,76,76,76,76,76,76,110.5,110.5,145,145,145,145,145,179.5,179.5,179.5,214,214,214,214,214,214,214,214,214,250,322,322,322,322,322,322,322,322,322,322,322,322,322,322
"Columnea_picta",286,286,285.999998,285.999998,285.999998,286,286,286,286,76,76,76,76,76,76,38,38,38,38,0,38,38,76,76,76,76,76,76,76,76,76,110.5,110.5,145,145,145,145,145,179.5,179.5,179.5,214,214,214,214,214,214,214,214,214,250,322,322,322,322,322,322,322,322,322,322,322,322,322,322
"Columnea_stricta",286,286,285.999998,285.999998,285.999998,286,286,286,286,76,76,76,76,76,76,38,38,38,38,38,0,38,76,76,76,76,76,76,76,76,76,110.5,110.5,145,145,145,145,145,179.5,179.5,179.5,214,214,214,214,214,214,214,214,214,250,322,322,322,322,322,322,322,322,322,322,322,322,322,322
"Columnea_strigosa",286,286,285.999998,285.999998,285.999998,286,286,286,286,76,76,76,76,76,76,38,38,38,38,38,38,0,76,76,76,76,76,76,76,76,76,110.5,110.5,145,145,145,145,145,179.5,179.5,179.5,214,214,214,214,214,214,214,214,214,250,322,322,322,322,322,322,322,322,322,322,322,322,322,322
"Diastema_racemiferum",286,286,285.999998,285.999998,285.999998,286,286,286,286,76,76,76,76,76,76,76,76,76,76,76,76,76,0,76,76,76,76,76,76,76,76,110.5,110.5,145,145,145,145,145,179.5,179.5,179.5,214,214,214,214,214,214,214,214,214,250,322,322,322,322,322,322,322,322,322,322,322,322,322,322
"Drymonia_brochidodroma",286,286,285.999998,285.999998,285.999998,286,286,286,286,76,76,76,76,76,76,76,76,76,76,76,76,76,76,0,76,76,76,76,76,76,76,110.5,110.5,145,145,145,145,145,179.5,179.5,179.5,214,214,214,214,214,214,214,214,214,250,322,322,322,322,322,322,322,322,322,322,322,322,322,322
"Gasteranthus_lateralis",286,286,285.999998,285.999998,285.999998,286,286,286,286,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,0,38,38,76,76,76,76,110.5,110.5,145,145,145,145,145,179.5,179.5,179.5,214,214,214,214,214,214,214,214,214,250,322,322,322,322,322,322,322,322,322,322,322,322,322,322
"Gasteranthus_leopardus",286,286,285.999998,285.999998,285.999998,286,286,286,286,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,38,0,38,76,76,76,76,110.5,110.5,145,145,145,145,145,179.5,179.5,179.5,214,214,214,214,214,214,214,214,214,250,322,322,322,322,322,322,322,322,322,322,322,322,322,322
"Gasteranthus_quitensis",286,286,285.999998,285.999998,285.999998,286,286,286,286,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,38,38,0,76,76,76,76,110.5,110.5,145,145,145,145,145,179.5,179.5,179.5,214,214,214,214,214,214,214,214,214,250,322,322,322,322,322,322,322,322,322,322,322,322,322,322
"Heppiella",286,286,285.999998,285.999998,285.999998,286,286,286,286,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,0,38,76,76,110.5,110.5,145,145,145,145,145,179.5,179.5,179.5,214,214,214,214,214,214,214,214,214,250,322,322,322,322,322,322,322,322,322,322,322,322,322,322
"Heppiella_ulmifolia",286,286,285.999998,285.999998,285.999998,286,286,286,286,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,38,0,76,76,110.5,110.5,145,145,145,145,145,179.5,179.5,179.5,214,214,214,214,214,214,214,214,214,250,322,322,322,322,322,322,322,322,322,322,322,322,322,322
"Kohleria",286,286,285.999998,285.999998,285.999998,286,286,286,286,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,0,38,110.5,110.5,145,145,145,145,145,179.5,179.5,179.5,214,214,214,214,214,214,214,214,214,250,322,322,322,322,322,322,322,322,322,322,322,322,322,322
"Kohleria_inaequalis",286,286,285.999998,285.999998,285.999998,286,286,286,286,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,38,0,110.5,110.5,145,145,145,145,145,179.5,179.5,179.5,214,214,214,214,214,214,214,214,214,250,322,322,322,322,322,322,322,322,322,322,322,322,322,322
"Justicia_secunda",286,286,285.999998,285.999998,285.999998,286,286,286,286,110.5,110.5,110.5,110.5,110.5,110.5,110.5,110.5,110.5,110.5,110.5,110.5,110.5,110.5,110.5,110.5,110.5,110.5,110.5,110.5,110.5,110.5,0,55.25,145,145,145,145,145,179.5,179.5,179.5,214,214,214,214,214,214,214,214,214,250,322,322,322,322,322,322,322,322,322,322,322,322,322,322
"Salvia_quitensis",286,286,285.999998,285.999998,285.999998,286,286,286,286,110.5,110.5,110.5,110.5,110.5,110.5,110.5,110.5,110.5,110.5,110.5,110.5,110.5,110.5,110.5,110.5,110.5,110.5,110.5,110.5,110.5,110.5,55.25,0,145,145,145,145,145,179.5,179.5,179.5,214,214,214,214,214,214,214,214,214,250,322,322,322,322,322,322,322,322,322,322,322,322,322,322
"Faramea_calyptrata",286,286,285.999998,285.999998,285.999998,286,286,286,286,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,0,96.666664,96.666664,96.666664,96.666664,179.5,179.5,179.5,214,214,214,214,214,214,214,214,214,250,322,322,322,322,322,322,322,322,322,322,322,322,322,322
"Palicourea_acetosoides",286,286,285.999998,285.999998,285.999998,286,286,286,286,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,96.666664,0,48.333332,48.333332,48.333332,179.5,179.5,179.5,214,214,214,214,214,214,214,214,214,250,322,322,322,322,322,322,322,322,322,322,322,322,322,322
"Palicourea_demissa",286,286,285.999998,285.999998,285.999998,286,286,286,286,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,96.666664,48.333332,0,48.333332,48.333332,179.5,179.5,179.5,214,214,214,214,214,214,214,214,214,250,322,322,322,322,322,322,322,322,322,322,322,322,322,322
"Palicourea_lineata",286,286,285.999998,285.999998,285.999998,286,286,286,286,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,96.666664,48.333332,48.333332,0,48.333332,179.5,179.5,179.5,214,214,214,214,214,214,214,214,214,250,322,322,322,322,322,322,322,322,322,322,322,322,322,322
"Palicourea_sodiroi",286,286,285.999998,285.999998,285.999998,286,286,286,286,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,96.666664,48.333332,48.333332,48.333332,0,179.5,179.5,179.5,214,214,214,214,214,214,214,214,214,250,322,322,322,322,322,322,322,322,322,322,322,322,322,322
"Burmeistera_multiflora",286,286,285.999998,285.999998,285.999998,286,286,286,286,179.5,179.5,179.5,179.5,179.5,179.5,179.5,179.5,179.5,179.5,179.5,179.5,179.5,179.5,179.5,179.5,179.5,179.5,179.5,179.5,179.5,179.5,179.5,179.5,179.5,179.5,179.5,179.5,179.5,0,66,66,214,214,214,214,214,214,214,214,214,250,322,322,322,322,322,322,322,322,322,322,322,322,322,322
"Centropogon_nigricans",286,286,285.999998,285.999998,285.999998,286,286,286,286,179.5,179.5,179.5,179.5,179.5,179.5,179.5,179.5,179.5,179.5,179.5,179.5,179.5,179.5,179.5,179.5,179.5,179.5,179.5,179.5,179.5,179.5,179.5,179.5,179.5,179.5,179.5,179.5,179.5,66,0,33,214,214,214,214,214,214,214,214,214,250,322,322,322,322,322,322,322,322,322,322,322,322,322,322
"Centropogon_solanifolius",286,286,285.999998,285.999998,285.999998,286,286,286,286,179.5,179.5,179.5,179.5,179.5,179.5,179.5,179.5,179.5,179.5,179.5,179.5,179.5,179.5,179.5,179.5,179.5,179.5,179.5,179.5,179.5,179.5,179.5,179.5,179.5,179.5,179.5,179.5,179.5,66,33,0,214,214,214,214,214,214,214,214,214,250,322,322,322,322,322,322,322,322,322,322,322,322,322,322
"Macleania_bullata",286,286,285.999998,285.999998,285.999998,286,286,286,286,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,0,12,12,12,24,24,24,24,200,250,322,322,322,322,322,322,322,322,322,322,322,322,322,322
"Macleania_macrantha",286,286,285.999998,285.999998,285.999998,286,286,286,286,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,12,0,12,12,24,24,24,24,200,250,322,322,322,322,322,322,322,322,322,322,322,322,322,322
"Macleania_recumbens",286,286,285.999998,285.999998,285.999998,286,286,286,286,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,12,12,0,12,24,24,24,24,200,250,322,322,322,322,322,322,322,322,322,322,322,322,322,322
"Macleania_stricta",286,286,285.999998,285.999998,285.999998,286,286,286,286,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,12,12,12,0,24,24,24,24,200,250,322,322,322,322,322,322,322,322,322,322,322,322,322,322
"Psammisia_aberrans",286,286,285.999998,285.999998,285.999998,286,286,286,286,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,24,24,24,24,0,12,12,12,200,250,322,322,322,322,322,322,322,322,322,322,322,322,322,322
"Psammisia_ecuadorensis",286,286,285.999998,285.999998,285.999998,286,286,286,286,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,24,24,24,24,12,0,12,12,200,250,322,322,322,322,322,322,322,322,322,322,322,322,322,322
"Psammisia_sodiroi",286,286,285.999998,285.999998,285.999998,286,286,286,286,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,24,24,24,24,12,12,0,12,200,250,322,322,322,322,322,322,322,322,322,322,322,322,322,322
"Psammisia_ulbrichiana",286,286,285.999998,285.999998,285.999998,286,286,286,286,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,24,24,24,24,12,12,12,0,200,250,322,322,322,322,322,322,322,322,322,322,322,322,322,322
"Norantea_anomala",286,286,285.999998,285.999998,285.999998,286,286,286,286,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,200,200,200,200,200,200,200,200,0,250,322,322,322,322,322,322,322,322,322,322,322,322,322,322
"Hydrangea_peruviana",286,286,285.999998,285.999998,285.999998,286,286,286,286,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,0,322,322,322,322,322,322,322,322,322,322,322,322,322,322
"Bomarea_multiflora",322,322,321.999998,321.999998,321.999998,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,0,128,256,256,256,256,256,256,256,256,256,256,256,256
"Bomarea_pardina",322,322,321.999998,321.999998,321.999998,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,128,0,256,256,256,256,256,256,256,256,256,256,256,256
"Calathea_ischnosiphonoides",322,322,321.999998,321.999998,321.999998,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,256,256,0,46,85,124,124,124,124,190,190,190,190,190
"Stromanthe_stromanthoides",322,322,321.999998,321.999998,321.999998,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,256,256,46,0,85,124,124,124,124,190,190,190,190,190
"Renealmia_sessilifolia",322,322,321.999998,321.999998,321.999998,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,256,256,85,85,0,124,124,124,124,190,190,190,190,190
"Heliconia_burleana",322,322,321.999998,321.999998,321.999998,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,256,256,124,124,124,0,62,62,62,190,190,190,190,190
"Heliconia_griggsiana",322,322,321.999998,321.999998,321.999998,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,256,256,124,124,124,62,0,62,62,190,190,190,190,190
"Heliconia_impudica",322,322,321.999998,321.999998,321.999998,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,256,256,124,124,124,62,62,0,62,190,190,190,190,190
"Heliconia_virginalis",322,322,321.999998,321.999998,321.999998,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,256,256,124,124,124,62,62,62,0,190,190,190,190,190
"Guzmania_amplectens",322,322,321.999998,321.999998,321.999998,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,256,256,190,190,190,190,190,190,190,0,33,66,66,66
"Guzmania_jaramilloi",322,322,321.999998,321.999998,321.999998,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,256,256,190,190,190,190,190,190,190,33,0,66,66,66
"Mezobromelia_capituligera",322,322,321.999998,321.999998,321.999998,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,256,256,190,190,190,190,190,190,190,66,66,0,66,66
"Pitcairnia_sodiroi",322,322,321.999998,321.999998,321.999998,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,256,256,190,190,190,190,190,190,190,66,66,66,0,66
"Tillandsia_complanata",322,322,321.999998,321.999998,321.999998,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,256,256,190,190,190,190,190,190,190,66,66,66,66,0
